Id,start_area_name,start_place_name,end_area_name,end_place_name,start_time,end_time,start_lon,start_lat,end_lon,end_lat
2013774,Italy,Florence, Greece, Athens,1481, 2015,11.24626,43.77925, 23.72784, 37.98376
2016450,Italy,Florence, Italy, Venice,1481, 1810,11.24626,43.77925, 12.33265, 45.43713
2128758,Italy,Florence, United States, Wellesley,1481, 1907,11.24626,43.77925, -71.29256, 42.29649
2140739,Italy,Florence, Italy, Modena,1481, 1970,11.24626,43.77925, 10.92539, 44.64783
2141240,Italy,Florence, United Kingdom, Glasgow,1481, 1874,11.24626,43.77925, -4.25763, 55.86515
2140723,Italy,Florence, Italy, Genoa,1481, 1900,11.24626,43.77925, 8.94439, 44.40478
2140988,Italy,Florence, France, Paris,1481, 1902,11.24626,43.77925, 2.3488, 48.85341
2140750,Italy,Florence, Italy, Naples,1481, 1816,11.24626,43.77925, 14.26811, 40.85216
2140752,Italy,Florence, Italy, Pisa,1481, 1742,11.24626,43.77925, 10.4036, 43.70853
2140760,Italy,Florence, Italy, Poppi,1481, 1825,11.24626,43.77925, 11.76642, 43.72123
2140687,Italy,Florence, Italy, Bologna,1481, 1712,11.24626,43.77925, 11.43333, 44.46667
2117472,Italy,Florence, Austria, Vienna,1481, 1807,11.24626,43.77925, 16.37169, 48.2082
2141109,Italy,Florence, Italy, Pavia,1481, 1835,11.24626,43.77925, 9.15917, 45.19205
2141099,Italy,Florence, Italy, Verona,1481, 1821,11.24626,43.77925, 10.98444, 45.4299
2141102,Italy,Florence, Latvia, Riga,1481, 1919,11.24626,43.77925, 24.10589, 56.946
2141016,Italy,Florence, Italy, Figline Valdarno,1481, 1926,11.24626,43.77925, 11.47191, 43.61995
2141110,Italy,Florence, Italy, NoInfo,1481, 1800,11.24626,43.77925, 12.83333, 42.83333
2141427,Italy,Florence, Vatican City, Vatican City,1481, 1700,11.24626,43.77925, 12.4533, 41.90225
2141456,Italy,Florence, Italy, Rome,1481, 1913,11.24626,43.77925, 12.51133, 41.89193
2140731,Italy,Florence, Italy, Lucca,1481, 1794,11.24626,43.77925, 10.50447, 43.84369
2141434,Italy,Florence, Vatican City, Vatican City,1481, 1746,11.24626,43.77925, 12.4533, 41.90225
2141204,Italy,Florence, United States, Cambridge,1481, 1905,11.24626,43.77925, -71.10561, 42.3751
2141492,Italy,Florence, United States, New York,1481, 1913,11.24626,43.77925, -74.00597, 40.71427
2145052,Italy,Florence, Germany, Schweinfurt,1481, 1958,11.24626,43.77925, 10.22175, 50.04937
2141553,Italy,Florence, United States, New York,1481, 1924,11.24626,43.77925, -74.00597, 40.71427
2141227,Italy,Florence, United Kingdom, Oxford,1481, 1889,11.24626,43.77925, -1.25596, 51.75222
2140776,Italy,Florence, Italy, Rome,1481, 1601,11.24626,43.77925, 12.51133, 41.89193
2141400,Italy,Florence, Japan, Tokyo,1481, 2008,11.24626,43.77925, 139.69171, 35.6895
2140685,Italy,Florence, Italy, Arezzo,1481, 1609,11.24626,43.77925, 11.88068, 43.46276
2140732,Italy,Florence, Italy, Lucca,1481, 1886,11.24626,43.77925, 10.50447, 43.84369
2141029,Italy,Florence, Italy, Ravenna,1481, 1970,11.24626,43.77925, 12.20121, 44.41344
2141588,Italy,Florence, Belarus, Minsk,1481, 1922,11.24626,43.77925, 27.56667, 53.9
2141168,Italy,Florence, Italy, Turin,1481, 1720,11.24626,43.77925, 7.68682, 45.07049
2140634,Italy,Florence, France, Paris,1481, 1913,11.24626,43.77925, 2.3488, 48.85341
2141251,Italy,Florence, NoInfo, NoInfo,1481, 1896,11.24626,43.77925, -71.10561, 42.3751
2140686,Italy,Florence, Italy, Bologna,1481, 1847,11.24626,43.77925, 11.43333, 44.46667
2141596,Italy,Florence, Germany, Cologne,1481, 1964,11.24626,43.77925, 6.95, 50.93333
2140704,Italy,Florence, Italy, Florence,1481, 1861,11.24626,43.77925, 11.24626, 43.77925
2141035,Italy,Florence, Italy, Florence,1481, 1907,11.24626,43.77925, 11.24626, 43.77925
2140738,Italy,Florence, Italy, Modena,1481, 1829,11.24626,43.77925, 10.92539, 44.64783
2141048,Italy,Florence, Italy, Livorno,1481, 1869,11.24626,43.77925, 10.32615, 43.54427
2140700,Italy,Florence, Italy, Florence,1481, 1861,11.24626,43.77925, 11.24626, 43.77925
2140703,Italy,Florence, Italy, Florence,1481, 1861,11.24626,43.77925, 11.24626, 43.77925
2141082,Italy,Florence, United Kingdom, Edinburgh,1481, 1925,11.24626,43.77925, -3.19648, 55.95206
2141097,Italy,Florence, Italy, Rome,1481, 1918,11.24626,43.77925, 12.51133, 41.89193
2140725,Italy,Florence, Italy, Genoa,1481, 1812,11.24626,43.77925, 8.94439, 44.40478
2141098,Italy,Florence, Italy, Sassari,1481, 1875,11.24626,43.77925, 8.55552, 40.72586
2140849,Italy,Florence, Spain, Barcelona,1481, 1959,11.24626,43.77925, 2.15899, 41.38879
2141338,Italy,Florence, Italy, Palermo,1481, 1981,11.24626,43.77925, 13.33561, 38.13205
2140675,Italy,Florence, Germany, Munich,1481, 1806,11.24626,43.77925, 11.57549, 48.13743
2140751,Italy,Florence, Italy, Parma,1481, 1761,11.24626,43.77925, 10.32618, 44.79935
2140709,Italy,Florence, Italy, Florence,1481, 1811,11.24626,43.77925, 11.24626, 43.77925
2140855,Italy,Florence, Sweden, Uppsala,1481, 1800,11.24626,43.77925, 17.63889, 59.85882
2140770,Italy,Florence, Italy, Rome,1481, 1851,11.24626,43.77925, 12.51133, 41.89193
2141191,Italy,Florence, United Kingdom, Oxford,1481, 1803,11.24626,43.77925, -1.25596, 51.75222
2141108,Italy,Florence, Spain, Santiago de Compostela,1481, 1615,11.24626,43.77925, -8.54569, 42.88052
2011395,Italy,Florence, Italy, NoInfo,1481, 1801,11.24626,43.77925, 12.83333, 42.83333
2141034,Italy,Florence, Italy, NoInfo,1481, 1990,11.24626,43.77925, 12.83333, 42.83333
2140961,Italy,Florence, France, Paris,1481, 2003,11.24626,43.77925, 2.3488, 48.85341
2141280,Italy,Florence, United States, Stanford,1481, 1987,11.24626,43.77925, -122.16608, 37.42411
201623,Italy,Florence, United States, Cambridge,1481, 1951,11.24626,43.77925, -71.10561, 42.3751
2140702,Italy,Florence, Italy, Florence,1481, 1885,11.24626,43.77925, 11.24626, 43.77925
2141122,Italy,Florence, Germany, Dresden,1481, 1775,11.24626,43.77925, 13.73832, 51.05089
2001011,Italy,Florence, United Kingdom, London,1481, 1821,11.24626,43.77925, -0.12574, 51.50853
2140726,Italy,Florence, Germany, Augsburg,1481, 1811,11.24626,43.77925, 10.89851, 48.37154
