Id,AreaName,PlaceName,Lon,Lat,Start,End,LocType,StartType,EndType
02140701,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02140701,Italy,Florence,11.24626,43.77925,1501,1600,accurate,accurate,approx
02140701,Italy,Florence,11.24626,43.77925,1714,1861,accurate,accurate,accurate
02140701,Italy,Florence,11.24626,43.77925,1861,2021,accurate,accurate,accurate
02141556,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141556,Italy,Florence,11.24626,43.77925,1899,1899,accurate,accurate,accurate
02141556,Italy,Treia,13.31036,43.3085,1899,1902,accurate,accurate,accurate
02141556,United States,University of Notre Dame,-86.23917,41.7031,1902,2021,accurate,accurate,accurate
02140623,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02140623,NoInfo,Europe,9.14062,48.69096,1481,1481,accurate,accurate,NoInfo
02140623,Italy,NoInfo,12.83333,42.83333,1659,1660,approx,accurate,accurate
02140623,France,Carpentras,5.04813,44.05507,1683,1757,accurate,accurate,accurate
02140623,France,Carpentras,5.04813,44.05507,1757,2021,accurate,accurate,accurate
02141180,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141180,NoInfo,NoInfo,11.24626,43.77925,1801,2000,NoInfo,accurate,approx
02141180,NoInfo,NoInfo,11.24626,43.77925,1850,1950,NoInfo,approx,approx
02141180,United Kingdom,NoInfo,-2.69531,54.75844,1896,1921,approx,accurate,accurate
02141180,United Kingdom,London,-0.12574,51.50853,1921,2021,accurate,accurate,accurate
02141614,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141614,Italy,NoInfo,12.83333,42.83333,1481,1600,approx,accurate,approx
02141614,United States,Worcester,-71.80229,42.26259,1880,1929,accurate,accurate,accurate
02141614,United States,South Hadley,-72.57453,42.25842,1880,1974,accurate,NoInfo,accurate
02141614,United States,South Hadley,-72.57453,42.25842,1974,2021,accurate,accurate,accurate
02141350,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141350,United Kingdom,NoInfo,-2.69531,54.75844,1701,1800,approx,accurate,approx
02141350,United Kingdom,Blenheim Palace,-1.36667,51.85,1717,1804,accurate,accurate,accurate
02141350,United Kingdom,Cambridge,0.11667,52.2,1804,2021,accurate,accurate,accurate
02140616,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02140616,Denmark,Copenhagen,12.56553,55.67594,1703,1785,accurate,accurate,accurate
02140616,Denmark,Copenhagen,12.56553,55.67594,1792,2021,accurate,accurate,accurate
02141622,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141622,Italy,NoInfo,12.83333,42.83333,1481,1481,approx,NoInfo,NoInfo
02141622,Italy,Florence,11.24626,43.77925,1897,1910,accurate,accurate,accurate
02141622,United States,Baltimore,-76.61219,39.29038,1910,1931,accurate,accurate,accurate
02141622,United States,Baltimore,-76.61219,39.29038,1931,2021,accurate,accurate,accurate
02141620,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141620,Italy,Florence,11.24626,43.77925,1897,1910,accurate,accurate,accurate
02141620,United States,Baltimore,-76.61219,39.29038,1910,1931,accurate,accurate,accurate
02141620,United States,Baltimore,-76.61219,39.29038,1931,2021,accurate,accurate,accurate
02141625,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141625,Italy,Naples,14.26811,40.85216,1736,1950,accurate,accurate,approx
02141627,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141627,NoInfo,Europe,9.14062,48.69096,1481,1600,accurate,accurate,approx
02141627,NoInfo,NoInfo,9.14062,48.69096,1601,1700,NoInfo,accurate,approx
02141627,Germany,Munich,11.57549,48.13743,1880,1979,accurate,accurate,accurate
02141627,Vatican City,NoInfo,12.45414,41.90268,1979,2021,approx,accurate,accurate
02141433,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141433,Italy,NoInfo,12.83333,42.83333,1481,1500,approx,accurate,approx
02141433,Italy,NoInfo,12.83333,42.83333,1481,1600,approx,accurate,approx
02141433,NoInfo,NoInfo,12.83333,42.83333,1501,1600,NoInfo,accurate,approx
02141433,Italy,Rome,12.51133,41.89193,1501,1923,accurate,NoInfo,accurate
02141433,Vatican City,Vatican City,12.4533,41.90225,1923,2021,accurate,accurate,accurate
02141428,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141428,Italy,NoInfo,12.83333,42.83333,1481,1600,approx,accurate,approx
02141428,Vatican City,NoInfo,12.45414,41.90268,1877,1921,approx,accurate,accurate
02141428,Vatican City,Vatican City,12.4533,41.90225,1877,2021,accurate,NoInfo,accurate
02140745,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02140745,Italy,NoInfo,12.83333,42.83333,1481,1600,approx,accurate,approx
02140745,NoInfo,NoInfo,12.83333,42.83333,1801,1900,NoInfo,accurate,approx
02140745,Italy,Naples,14.26811,40.85216,1804,2021,accurate,accurate,accurate
02141554,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141554,Italy,Italy,12.83333,42.83333,1481,1500,accurate,accurate,approx
02141554,Italy,Florence,11.24626,43.77925,1501,1600,accurate,accurate,approx
02141554,United Kingdom,Oswestry,-3.05497,52.86195,1806,1843,accurate,accurate,accurate
02141554,United States,Princeton,-74.65905,40.34872,1900,1955,accurate,approx,accurate
02141554,United States,Princeton,-74.65905,40.34872,1955,2021,accurate,accurate,accurate
02141630,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141630,NoInfo,NoInfo,11.24626,43.77925,1501,1600,NoInfo,accurate,approx
02141630,United States,Brunswick,-69.96533,43.91452,1870,1915,accurate,accurate,accurate
02141630,United States,Brunswick,-69.96533,43.91452,1970,2021,accurate,accurate,accurate
02140711,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02140711,Italy,NoInfo,12.83333,42.83333,1481,1600,approx,accurate,approx
02140711,Italy,Florence,11.24626,43.77925,1826,1834,accurate,accurate,accurate
02140711,Italy,Florence,11.24626,43.77925,1850,2021,accurate,approx,accurate
02141037,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141037,Italy,NoInfo,12.83333,42.83333,1481,1500,approx,accurate,approx
02141037,Italy,Florence,11.24626,43.77925,1849,1874,accurate,accurate,accurate
02141037,Italy,Florence,11.24626,43.77925,1874,1905,accurate,accurate,accurate
02141037,Italy,Florence,11.24626,43.77925,1907,2021,accurate,accurate,accurate
02126770,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02126770,NoInfo,NoInfo,11.24626,43.77925,1481,1500,NoInfo,accurate,approx
02126770,NoInfo,NoInfo,11.24626,43.77925,1481,1500,NoInfo,accurate,approx
02126770,NoInfo,NoInfo,11.24626,43.77925,1481,1500,NoInfo,accurate,approx
02126770,NoInfo,NoInfo,11.24626,43.77925,1500,1560,NoInfo,approx,accurate
02126770,United Kingdom,London,-0.12574,51.50853,1791,1791,accurate,accurate,accurate
02126770,United Kingdom,Thenford,-1.24167,52.07689,1791,1816,accurate,accurate,accurate
02126770,United Kingdom,London,-0.12574,51.50853,1816,1824,accurate,accurate,accurate
02126770,United Kingdom,Thenford,-1.24167,52.07689,1824,1846,accurate,accurate,accurate
02126770,United Kingdom,Thenford,-1.24167,52.07689,1846,1886,accurate,accurate,accurate
02126770,United States,New York,-74.00597,40.71427,1886,1886,accurate,accurate,accurate
02126770,Italy,NoInfo,12.83333,42.83333,1886,1904,approx,accurate,accurate
02126770,Italy,NoInfo,12.83333,42.83333,1904,1905,approx,accurate,accurate
02126770,Italy,Ravenna,12.20121,44.41344,1905,2021,accurate,accurate,accurate
02140741,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02140741,Italy,Florence,11.24626,43.77925,1562,1562,accurate,accurate,accurate
02140741,NoInfo,NoInfo,11.24626,43.77925,1701,1800,NoInfo,accurate,approx
02140741,Italy,Naples,14.26811,40.85216,1804,2021,accurate,accurate,accurate
02141490,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141490,NoInfo,NoInfo,11.24626,43.77925,1501,1600,NoInfo,accurate,approx
02141490,NoInfo,NoInfo,11.24626,43.77925,1501,1600,NoInfo,NoInfo,NoInfo
02141490,Vatican City,NoInfo,12.45414,41.90268,1501,1930,approx,NoInfo,accurate
02141490,United States,Washington,-77.03637,38.89511,1932,2021,accurate,accurate,accurate
02141263,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141263,Italy,NoInfo,12.83333,42.83333,1481,1700,approx,accurate,approx
02141263,United Kingdom,London,-0.12574,51.50853,1810,1843,accurate,accurate,accurate
02141263,United Kingdom,NoInfo,-2.69531,54.75844,1845,1845,approx,accurate,accurate
02141263,United Kingdom,NoInfo,-2.69531,54.75844,1845,1868,approx,accurate,accurate
02141263,United Kingdom,London,-0.12574,51.50853,1868,1875,accurate,accurate,accurate
02141263,United States,Boston,-71.05977,42.35843,1875,1919,accurate,accurate,accurate
02141263,United States,Cambridge,-71.10561,42.3751,1919,2021,accurate,accurate,accurate
02141270,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141270,NoInfo,NoInfo,11.24626,43.77925,1701,1800,NoInfo,accurate,approx
02141270,United States,Cincinnati,-84.51439,39.12711,1820,1890,accurate,accurate,accurate
02141270,United States,Chicago,-87.65005,41.85003,1890,2021,accurate,accurate,accurate
02140994,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02140994,France,Paris,2.3488,48.85341,1731,1788,accurate,accurate,accurate
02140994,Germany,Hamburg,9.99302,53.55073,1731,1863,accurate,NoInfo,accurate
02140994,Germany,Hamburg,9.99302,53.55073,1863,2021,accurate,accurate,accurate
02141186,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141186,Italy,NoInfo,12.83333,42.83333,1481,1500,approx,accurate,approx
02141186,Italy,Florence,11.24626,43.77925,1481,1500,accurate,accurate,NoInfo
02141186,Italy,NoInfo,12.83333,42.83333,1501,1600,approx,accurate,approx
02141186,United Kingdom,Althorp,-1.00095,52.28107,1807,1834,accurate,accurate,accurate
02141186,NoInfo,,-1.00095,52.28107,1835,1892,accurate,accurate,accurate
02141186,United Kingdom,Manchester,-2.23743,53.48095,1892,1892,accurate,accurate,accurate
02141186,United Kingdom,Manchester,-2.23743,53.48095,1892,2021,accurate,accurate,accurate
02141489,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141489,United Kingdom,London,-0.12574,51.50853,1860,1927,accurate,accurate,accurate
02141489,United States,New York,-74.00597,40.71427,1860,1935,accurate,NoInfo,accurate
02141489,United States,Jenkintown,-75.12517,40.09594,1935,1943,accurate,accurate,accurate
02141489,United States,Washington,-77.03637,38.89511,1943,2021,accurate,accurate,accurate
02140943,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02140943,Belgium,Liège,5.56749,50.63373,1817,2021,accurate,accurate,accurate
02140632,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02140632,Italy,NoInfo,12.83333,42.83333,1500,1481,approx,approx,NoInfo
02140632,Italy,Rome,12.51133,41.89193,1733,1783,accurate,accurate,accurate
02140632,France,Paris,2.3488,48.85341,1788,1792,accurate,accurate,accurate
02140632,France,Paris,2.3488,48.85341,1792,2021,accurate,accurate,accurate
02141738,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141738,France,Paris,2.3488,48.85341,1481,1838,accurate,NoInfo,accurate
02141738,France,Paris,2.3488,48.85341,1838,1838,accurate,accurate,accurate
02141738,France,Paris,2.3488,48.85341,1838,2021,accurate,accurate,accurate
02141737,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141737,France,Paris,2.3488,48.85341,1481,1784,accurate,NoInfo,accurate
02141737,France,Paris,2.3488,48.85341,1784,2021,accurate,accurate,accurate
02141741,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02001008,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02001008,United Kingdom,London,-0.12574,51.50853,1755,1846,accurate,accurate,accurate
02001008,United Kingdom,London,-0.12574,51.50853,1847,2021,accurate,accurate,accurate
02141599,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141599,NoInfo,NoInfo,11.24626,43.77925,1501,1600,NoInfo,accurate,approx
02141599,Germany,Berlin,13.41053,52.52437,1800,1846,accurate,approx,accurate
02141599,Germany,Berlin,13.41053,52.52437,1850,2021,accurate,approx,accurate
02141629,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141629,NoInfo,NoInfo,11.24626,43.77925,1501,1600,NoInfo,accurate,approx
02141629,Germany,Berlin,13.41053,52.52437,1880,1904,accurate,accurate,accurate
02141629,Germany,Berlin,13.41053,52.52437,1906,2021,accurate,accurate,accurate
02141643,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141643,NoInfo,NoInfo,11.24626,43.77925,1833,1861,NoInfo,accurate,accurate
02141643,Switzerland,Cologny,6.18041,46.21672,1951,2021,accurate,accurate,accurate
02140783,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02140783,Italy,NoInfo,12.83333,42.83333,1481,1600,approx,accurate,approx
02140783,Italy,Siena,11.33064,43.31822,1758,2021,accurate,accurate,accurate
02141600,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141600,Germany,Dresden,13.73832,51.05089,1853,1865,accurate,accurate,accurate
02141600,Germany,Dresden,13.73832,51.05089,1853,2021,accurate,accurate,accurate
02141601,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141601,Germany,Dresden,13.73832,51.05089,1481,2021,accurate,NoInfo,accurate
02140795,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02140795,Italy,NoInfo,12.83333,42.83333,1501,1700,approx,accurate,approx
02140795,Italy,Trivignano,12.18687,45.53197,1701,1800,accurate,accurate,approx
02140795,Italy,Treviso,12.2416,45.66673,1737,1810,accurate,accurate,accurate
02140795,Italy,Treviso,12.2416,45.66673,1810,2021,accurate,accurate,accurate
02140630,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
