Id,lat1,lat2,lon1,lon2,time1,time2,stay,area1,area2,place1,place2
02141738,43.77925,48.85341,11.24626,2.3488,1481,1481,0,Italy,France,Florence,Paris
02141738,48.85341,48.85341,2.3488,2.3488,1838,1838,0,France,France,Paris,Paris
02141738,48.85341,48.85341,2.3488,2.3488,1838,1838,0,France,France,Paris,Paris
02141737,43.77925,48.85341,11.24626,2.3488,1481,1481,0,Italy,France,Florence,Paris
02141737,48.85341,48.85341,2.3488,2.3488,1784,1784,0,France,France,Paris,Paris
02001008,43.77925,51.50853,11.24626,-0.12574,1481,1755,274,Italy,United Kingdom,Florence,London
02001008,51.50853,51.50853,-0.12574,-0.12574,1846,1847,1,United Kingdom,United Kingdom,London,London
02141599,43.77925,43.77925,11.24626,11.24626,1481,1501,20,Italy,NoInfo,Florence,NoInfo
02141599,43.77925,52.52437,11.24626,13.41053,1600,1800,200,NoInfo,Germany,NoInfo,Berlin
02141599,52.52437,52.52437,13.41053,13.41053,1846,1850,4,Germany,Germany,Berlin,Berlin
02141629,43.77925,43.77925,11.24626,11.24626,1481,1501,20,Italy,NoInfo,Florence,NoInfo
02141629,43.77925,52.52437,11.24626,13.41053,1600,1880,280,NoInfo,Germany,NoInfo,Berlin
02141629,52.52437,52.52437,13.41053,13.41053,1904,1906,2,Germany,Germany,Berlin,Berlin
02141643,43.77925,43.77925,11.24626,11.24626,1481,1833,352,Italy,NoInfo,Florence,NoInfo
02141643,43.77925,46.21672,11.24626,6.18041,1861,1951,90,NoInfo,Switzerland,NoInfo,Cologny
02140783,43.77925,42.83333,11.24626,12.83333,1481,1481,0,Italy,Italy,Florence,NoInfo
02140783,42.83333,43.31822,12.83333,11.33064,1600,1758,158,Italy,Italy,NoInfo,Siena
02141600,43.77925,51.05089,11.24626,13.73832,1481,1853,372,Italy,Germany,Florence,Dresden
02141600,51.05089,51.05089,13.73832,13.73832,1865,1853,-12,Germany,Germany,Dresden,Dresden
02141601,43.77925,51.05089,11.24626,13.73832,1481,1481,0,Italy,Germany,Florence,Dresden
02140795,43.77925,42.83333,11.24626,12.83333,1481,1501,20,Italy,Italy,Florence,NoInfo
02140795,42.83333,45.53197,12.83333,12.18687,1700,1701,1,Italy,Italy,NoInfo,Trivignano
02140795,45.53197,45.66673,12.18687,12.2416,1800,1737,-63,Italy,Italy,Trivignano,Treviso
02140795,45.66673,45.66673,12.2416,12.2416,1810,1810,0,Italy,Italy,Treviso,Treviso
02140630,43.77925,45.4389,11.24626,12.33092,1481,1481,0,Italy,Italy,Florence,Venice
02140630,45.4389,45.4389,12.33092,12.33092,1519,1519,0,Italy,Italy,Venice,Venice
02140630,45.4389,48.85341,12.33092,2.3488,1547,1801,254,Italy,France,Venice,Paris
02141192,43.77925,42.83333,11.24626,12.83333,1481,1481,0,Italy,Italy,Florence,NoInfo
02141192,42.83333,42.83333,12.83333,12.83333,1500,1550,50,Italy,Italy,NoInfo,Italy
