group,variable,value
16.5,2140643,0
16.5,2140648,1
16.5,2140668,0
16.5,2140675,1
16.5,2140676,7
16.5,2140685,3
16.5,2140686,2
16.5,2140687,0
16.5,2140700,0
16.5,2140701,1
16.5,2140702,0
16.5,2140703,1
16.5,2140704,1
16.5,2140709,3
16.5,2140711,1
16.5,2140723,1
16.5,2140725,2
16.5,2140726,1
16.5,2140731,2
16.5,2140732,1
16.5,2140738,0
16.5,2140739,0
16.5,2140741,1
16.5,2140745,1
16.5,2140750,0
16.5,2140751,2
16.5,2140752,1
16.5,2140753,0
16.5,2140760,0
16.5,2140761,2
16.5,2140770,2
16.5,2140771,3
16.5,2140776,1
16.5,2140781,1
16.5,2140783,1
16.5,2140784,0
16.5,2140795,1
16.5,2140828,0
16.5,2140829,0
16.5,2140849,1
16.5,2140855,2
16.5,2140856,1
16.5,2140943,0
16.5,2140961,0
16.5,2140985,0
16.5,2140988,0
16.5,2140991,1
16.5,2140994,0
16.5,2141004,0
16.5,2141016,3
16.5,2141017,0
16.5,2141029,0
16.5,2141034,0
16.5,2141035,2
16.5,2141037,0
16.5,2141048,1
16.5,2141082,1
16.5,2141086,2
16.5,2141097,1
16.5,2141098,1
16.5,2141099,1
16.5,2141102,1
16.5,2141108,0
16.5,2141109,1
16.5,2141110,2
16.5,2141115,0
16.5,2141122,2
16.5,2141143,0
16.5,2141147,1
16.5,2141148,1
16.5,2141160,0
16.5,2141168,1
16.5,2141180,0
16.5,2141186,1
16.5,2141191,0
16.5,2141192,1
16.5,2141203,0
16.5,2141204,1
16.5,2141227,0
16.5,2141240,1
16.5,2141250,1
16.5,2141251,1
16.5,2141263,1
16.5,2141267,0
16.5,2141268,1
16.5,2141270,0
16.5,2141271,0
16.5,2141280,1
16.5,2141338,2
16.5,2141340,0
16.5,2141350,0
16.5,2141376,0
16.5,2141400,0
16.5,2141406,1
16.5,2141427,0
16.5,2141428,1
16.5,2141433,2
16.5,2141434,1
16.5,2141439,0
16.5,2141440,0
16.5,2141444,3
16.5,2141456,2
16.5,2141466,0
16.5,2141489,0
16.5,2141490,1
16.5,2141491,0
16.5,2141492,0
16.5,2141529,0
16.5,2141530,0
16.5,2141553,0
16.5,2141554,1
16.5,2141555,1
16.5,2141556,0
16.5,2141557,0
16.5,2141558,0
16.5,2141568,1
16.5,2141588,1
16.5,2141596,1
16.5,2141598,0
16.5,2141599,1
16.5,2141600,0
16.5,2141601,0
16.5,2141603,1
16.5,2141605,1
16.5,2141614,1
16.5,2141620,0
16.5,2141622,0
16.5,2141625,0
16.5,2141627,1
16.5,2141629,1
16.5,2141630,1
16.5,2141643,0
16.5,2141717,0
16.5,2141737,0
16.5,2141738,0
16.5,2141739,0
16.5,2141741,0
16.5,2142772,1
16.5,2142777,1
16.5,2142781,0
16.5,2142782,0
16.5,2144949,1
16.5,2144952,0
16.5,2145052,2
17.0,201623,0
17.0,559810,1
17.0,2001008,0
17.0,2001009,0
17.0,2001010,0
17.0,2001011,0
17.0,2007303,1
17.0,2011395,0
17.0,2011876,0
17.0,2013774,2
17.0,2013814,0
17.0,2013851,0
17.0,2016450,1
17.0,2019494,0
17.0,2117472,0
17.0,2126770,0
17.0,2128758,1
17.0,2129250,0
17.0,2130036,0
17.0,2138497,0
17.0,2140612,0
17.0,2140613,2
17.0,2140616,0
17.0,2140623,0
17.0,2140630,0
17.0,2140632,0
17.0,2140633,1
17.0,2140634,1
17.0,2140635,0
17.0,2140643,0
17.0,2140648,1
17.0,2140668,0
17.0,2140675,1
17.0,2140676,2
17.0,2140685,1
17.0,2140686,0
17.0,2140687,0
17.0,2140700,0
17.0,2140701,0
17.0,2140702,0
17.0,2140703,0
17.0,2140704,1
17.0,2140709,0
17.0,2140711,0
17.0,2140723,1
17.0,2140725,0
17.0,2140726,1
17.0,2140731,1
17.0,2140732,0
17.0,2140738,0
17.0,2140739,1
17.0,2140741,0
17.0,2140745,0
17.0,2140750,0
17.0,2140751,0
17.0,2140752,1
17.0,2140753,0
17.0,2140760,0
17.0,2140761,0
17.0,2140770,0
17.0,2140771,0
17.0,2140776,1
17.0,2140781,1
17.0,2140783,0
17.0,2140784,1
17.0,2140795,1
17.0,2140828,0
17.0,2140829,0
17.0,2140849,1
17.0,2140855,0
17.0,2140856,2
