Id,NumOfPro,Loc,Time,Today,Error
02140829,3,"[[43.77925, 11.24626], [59.93863, 30.31413], [55.75222, 37.61556], [55.75222, 37.61556]]","[[1481, 1481], [1820, 1869], [1869, 1924], [1924, 2021]]",True,
02141491,5,"[[43.77925, 11.24626], [45.15533665, 10.90486405], [44.32588, 7.67431], [51.50853, -0.12574], [37.80437, -122.2708], [37.80437, -122.2708]]","[[1481, 1481], [1481, 1500], [1650, 1650], [1841, 1883], [1877, 1948], [1948, 2021]]",True,
02141108,3,"[[43.77925, 11.24626], [44.23836595, 9.691232634547537], [44.23836595, 9.691232634547537], [42.88052, -8.54569]]","[[1481, 1481], [1481, 1500], [1615, 1615], [None, 2021]]",True,0
02142782,2,"[[43.77925, 11.24626], [51.50853, -0.12574], [51.50853, -0.12574]]","[[1481, 1481], [1835, 1845], [1845, 2021]]",True,
02140700,4,"[[43.77925, 11.24626], [45.15533665, 10.90486405], [43.77925, 11.24626], [43.77925, 11.24626], [43.77925, 11.24626]]","[[1481, 1481], [1481, 1500], [1481, 1500], [1714, 1861], [1861, 2021]]",True,
02141147,3,"[[43.77925, 11.24626], [43.77925, 11.24626], [51.50853, -0.12574], [52.2, 0.11667]]","[[1481, 1481], [1554, 1571], [1645, 1645], [None, 2021]]",True,
02140991,5,"[[43.77925, 11.24626], [45.15533665, 10.90486405], [40.85216, 14.26811], [52.1994445, 0.1220898930123415], [47.39484, 0.70398], [47.39484, 0.70398]]","[[1481, 1481], [1481, 1600], [None, None], [1781, 1833], [None, 1972], [1972, 2021]]",True,
02138497,3,"[[43.77925, 11.24626], [None, None], [52.06866, 4.28635], [52.06866, 4.28635]]","[[1481, 1481], [1501, 1600], [1824, 1848], [None, 2021]]",True,
02141227,2,"[[43.77925, 11.24626], [55.99089, -3.39847], [51.75222, -1.25596]]","[[1481, 1481], [None, 1889], [1889, 2021]]",True,
02140776,3,"[[43.77925, 11.24626], [45.15533665, 10.90486405], [None, None], [41.89193, 12.51133]]","[[1481, 1481], [1481, 1500], [1481, 1576], [1601, 2021]]",True,
02141280,7,"[[43.77925, 11.24626], [45.46427, 9.18951], [48.69096, 9.14062], [52.0389, 0.73117], [51.50853, -0.12574], [38.02931, -78.47668], [45.02819, 11.64265], [37.42411, -122.16608]]","[[1481, 1481], [1500, 1566], [None, None], [1825, 1866], [1918, 1927], [1928, 1960], [1960, 1987], [1987, 2021]]",True,
02141400,8,"[[43.77925, 11.24626], [45.15533665, 10.90486405], [51.50853, -0.12574], [51.8485, -1.35132], [40.71427, -74.00597], [40.71427, -74.00597], [48.85341, 2.3488], [35.6895, 139.69171], [35.6895, 139.69171]]","[[1481, 1481], [1481, 1500], [1674, 1722], [1749, 1881], [1870, 1908], [1912, 1912], [1958, None], [None, 2008], [2008, 2021]]",True,
02140685,5,"[[43.77925, 11.24626], [45.15533665, 10.90486405], [45.15533665, 10.90486405], [45.15533665, 10.90486405], [45.15533665, 10.90486405], [43.46276, 11.88068]]","[[1481, 1481], [1481, 1500], [1579, 1579], [1579, 1579], [1591, 1591], [1609, 2021]]",True,
02140732,2,"[[43.77925, 11.24626], [45.15533665, 10.90486405], [43.84369, 10.50447]]","[[1481, 1481], [1481, 1600], [1886, 2021]]",True,
02141168,2,"[[43.77925, 11.24626], [45.15533665, 10.90486405], [45.07049, 7.68682]]","[[1481, 1481], [1500, 1599], [1720, 2021]]",True,
